NAME,RESOURCE GROUP,LOCATION,SUBSCRIPTION
"prd-d360-wus-appinsights","prd-d360-mgmt-wus-rg","West US","prd-d360-sub"
"prd-fis-eus-appinsights","prd-fis-mgmt-eus-rg","East US","prd-fis-sub"
"prd-fis-wus-appinsights","prd-fis-mgmt-wus-rg","West US","prd-fis-sub"
"prd-shrdsvcs-eus-appinsights","prd-shrdsvcs-mgmt-eus-rg","East US","prd-shrdsvcs-sub"
"prestage-dps-app-insights","dps_prestage_shared_rg","East US","DISAWorks Platform Upper"
"prod-dps-app-insights","dps_prod_shared_rg","East US","DISAWorks Platform Upper"
"prometheus-integrations-dev-disa-tenant","dev-use-group-prometheus","East US","UCP-DEV-Subscription"
"qa-dps-app-insights","dps_qa_shared_rg","East US","DISAWorks Platform Lower"
"qa-dworks-eus-appinsights","qa-dworks-mgmt-eus-rg","East US","qa-dworks-sub"
"stage-dps-app-insights","dps_stage_shared_rg","East US","DISAWorks Platform Upper"
"stg-d360-alchemyeye-eus-func-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-amzsnsapi-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-documentserver-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-estesapi-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-eus-appinsights","stg-d360-mgmt-eus-rg","East US","stg-d360-sub"
"stg-d360-inex-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-intranet-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-intranetsrv-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-members-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvcorning-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvdrugalcoholtesting-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvhankook-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvnfi-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvpatterson-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvscheduletesting-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-restsrvtenstreetxchange-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-scheduletesting-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-scheduletestingsbx-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-tokenatorapi-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-vip-eus-app-ai","stg-d360-app-eus-rg","East US","stg-d360-sub"
"stg-d360-wus-appinsights","stg-d360-mgmt-wus-rg","West US","stg-d360-sub"
"stg-dgs-DISAScreen-Backend-WebApp-AppInsights","stg-dgs-DISAScreen-monitoring-eastus-rg","East US","UCP-DEV-Subscription"
"stg-dgs-DISAScreen-Frontend-WebApp-AppInsights","stg-dgs-DISAScreen-monitoring-eastus-rg","East US","UCP-DEV-Subscription"
"stg-dworks-eus-appinsights","stg-dworks-mgmt-eus-rg","East US","stg-dworks-sub"
"stg-dworks-wus-appinsights","stg-dworks-mgmt-wus-rg","West US","stg-dworks-sub"
"stg-fis-eus-appinsights","stg-fis-mgmt-eus-rg","East US","stg-fis-sub"
"stg-fis-wus-appinsights","stg-fis-mgmt-wus-rg","West US","stg-fis-sub"
"stg-shrdsvcs-eus-appinsights","stg-shrdsvcs-mgmt-eus-rg","East US","stg-shrdsvcs-sub"
"TransQSearch","POC_BackgroundsDomain","East US","DISAWorks Platform Pegasus Team"
"UCP-DEV-Backend-WebApp-AppInsights","UCP-DEV-Monitoring-RG","East US","UCP-DEV-Subscription"
"UCP-DEV-Frontend-WebApp-AppInsights","UCP-DEV-Monitoring-RG","East US","UCP-DEV-Subscription"
"UCP-PRD-Backend-WebApp-AppInsights","UCP-PRD-Monitoring-RG","East US","UCP-PRD-Subscription"
"UCP-PRD-Frontend-WebApp-AppInsights","UCP-PRD-Monitoring-RG","East US","UCP-PRD-Subscription"
"UCP-QA-Backend-WebApp-AppInsights","UCP-QA-Monitoring-RG","East US","UCP-DEV-Subscription"
"UCP-QA-Frontend-WebApp-AppInsights","UCP-QA-Monitoring-RG","East US","UCP-DEV-Subscription"
"UCP-STG-Backend-WebApp-AppInsights","UCP-STG-Monitoring-RG","East US","UCP-DEV-Subscription"
"UCP-STG-Frontend-WebApp-AppInsights","UCP-STG-Monitoring-RG","East US","UCP-DEV-Subscription"
